start-time             |end-time               |duration|rtt     |proto|sip                                   |sp   |dip                                     |dp   |iflags  |uflags  |riflags |ruflags |isn     |risn    |tag|rtag|pkt    |oct     |rpkt    |roct    |app  |end-reason
2020-05-05 10:12:15.222|2020-05-05 10:12:16.357|   1.135|   0.048|  6|                             192.168.0.7|46330|                         130.149.133.150|  443|       S|    APRF|      AS|      AP|79350d31|81de9135|000|000|      15|    3251|      10|   36325|    0|
2020-05-05 10:12:16.357|2020-05-05 10:12:16.357|   0.000|   0.000|  6|                         130.149.133.150|  443|                             192.168.0.7|46330|      AP|       0|       R|       0|81df1d0b|793516de|000|000|       1|      83|       1|      40|    0|
2020-05-05 10:12:16.357|2020-05-05 10:12:16.357|   0.000|   0.000|  6|                         130.149.133.150|  443|                             192.168.0.7|46330|      AF|       0|       R|       0|81df1d2a|793516de|000|000|       1|      52|       1|      40|    0|
2020-05-05 10:12:16.380|2020-05-05 10:12:16.427|   0.047|   0.047|  6|                             192.168.0.7|46336|                         130.149.133.150|  443|       R|       S|       A|       0|6c35f6cf|d22d9f96|000|000|       2|     100|       1|      52|    0|
2020-05-05 10:12:16.464|2020-05-05 10:12:16.506|   0.042|   0.042|  6|                             192.168.0.7|46338|                         130.149.133.150|  443|       S|       R|       A|       0|1d91a153|9c700d02|000|000|       2|     100|       1|      52|    0|
2020-05-05 10:12:16.380|2020-05-05 10:12:16.675|   0.295|   0.046|  6|                             192.168.0.7|46334|                         130.149.133.150|  443|       S|    APRF|      AS|      AP|615b36a5|af8bbd96|000|000|      15|    3265|       9|   24031|    0|
2020-05-05 10:12:16.677|2020-05-05 10:12:16.677|   0.000|   0.000|  6|                         130.149.133.150|  443|                             192.168.0.7|46334|      AP|       0|       R|       0|af8c199a|615b405f|000|000|       1|      83|       1|      40|    0|
2020-05-05 10:12:16.677|2020-05-05 10:12:16.677|   0.000|   0.000|  6|                         130.149.133.150|  443|                             192.168.0.7|46334|      AF|       0|       R|       0|af8c19b9|615b405f|000|000|       1|      52|       1|      40|    0|
2020-05-05 10:12:16.677|2020-05-05 10:12:16.677|   0.000|   0.000|  6|                         130.149.133.150|  443|                             192.168.0.7|46334|       A|       0|       R|       0|af8c19ba|615b4060|000|000|       1|      52|       1|      40|    0|
2020-05-05 10:12:17.472|2020-05-05 10:12:22.792|   5.320|   0.043|  6|                             192.168.0.7|46338|                         130.149.133.150|  443|       S|    APRF|      AS|      AP|1d91a153|87d22328|000|000|       8|    1074|       6|     503|    0|
2020-05-05 10:12:22.793|2020-05-05 10:12:22.793|   0.000|   0.000|  6|                         130.149.133.150|  443|                             192.168.0.7|46338|      AF|       0|       R|       0|87d223e0|1d91a3ea|000|000|       1|      52|       1|      40|    0|
2020-05-05 10:12:22.793|2020-05-05 10:12:22.793|   0.000|   0.000|  6|                         130.149.133.150|  443|                             192.168.0.7|46338|       A|       0|       R|       0|87d223e1|1d91a3eb|000|000|       1|      52|       1|      40|    0|
2020-05-05 10:12:17.404|2020-05-05 10:12:22.796|   5.392|   0.042|  6|                             192.168.0.7|46336|                         130.149.133.150|  443|       S|    APRF|      AS|      AP|f2708636|e551c71f|000|000|       8|    1074|       6|     503|    0|
2020-05-05 10:12:22.797|2020-05-05 10:12:22.797|   0.000|   0.000|  6|                         130.149.133.150|  443|                             192.168.0.7|46336|      AF|       0|       R|       0|e551c7d7|f27088ce|000|000|       1|      52|       1|      40|    0|
2020-05-05 10:12:15.211|2020-05-05 10:12:15.222|   0.011|   0.011| 17|                             192.168.0.7|59775|                             192.168.0.1|   53|       0|       0|       0|       0|00000000|00000000|000|000|       1|      63|       1|      79|    0|eof 
2020-05-05 10:12:16.316|2020-05-05 10:12:16.323|   0.007|   0.007| 17|                             192.168.0.7|54472|                             192.168.0.1|   53|       0|       0|       0|       0|00000000|00000000|000|000|       1|      63|       1|      79|    0|eof 
2020-05-05 10:12:16.328|2020-05-05 10:12:16.334|   0.006|   0.006| 17|                             192.168.0.7|39781|                             192.168.0.1|   53|       0|       0|       0|       0|00000000|00000000|000|000|       1|      63|       1|      79|    0|eof 
2020-05-05 10:12:16.355|2020-05-05 10:12:16.379|   0.024|   0.024| 17|                             192.168.0.7|47932|                             192.168.0.1|   53|       0|       0|       0|       0|00000000|00000000|000|000|       1|      63|       1|      79|    0|eof 
2020-05-05 10:12:16.455|2020-05-05 10:12:16.464|   0.009|   0.009| 17|                             192.168.0.7|48938|                             192.168.0.1|   53|       0|       0|       0|       0|00000000|00000000|000|000|       1|      63|       1|      79|    0|eof 
2020-05-05 10:12:16.631|2020-05-05 10:12:16.638|   0.007|   0.007| 17|                             192.168.0.7|34879|                             192.168.0.1|   53|       0|       0|       0|       0|00000000|00000000|000|000|       1|      63|       1|      79|    0|eof 
2020-05-05 10:12:16.715|2020-05-05 10:12:16.720|   0.005|   0.005| 17|                             192.168.0.7|57704|                             192.168.0.1|   53|       0|       0|       0|       0|00000000|00000000|000|000|       1|      63|       1|      79|    0|eof 
2020-05-05 10:12:16.639|2020-05-05 10:12:17.604|   0.965|   0.043|  6|                             192.168.0.7|46340|                         130.149.133.150|  443|       S|      AP|      AS|      AP|9a4e61ee|4da4be03|000|000|       7|    1831|       6|    1081|    0|eof 
